2024-08-15 10:33:25,22.0,47.0
2024-08-15 10:36:44,22.6,45.0
2024-08-15 10:36:48,22.7,45.0
2024-08-15 10:36:52,22.8,45.0
2024-08-15 10:37:15,22.8,45.0
2024-08-15 10:38:07,22.6,45.0
2024-08-15 10:38:12,22.7,45.0
2024-08-15 10:49:11,22.5,46.0
2024-08-15 10:49:13,22.5,46.0
2024-08-15 10:49:15,22.6,46.0
2024-08-15 10:49:18,22.5,46.0
2024-08-15 10:49:24,22.6,46.0
2024-08-15 10:49:26,22.7,46.0
2024-08-15 10:49:28,22.7,46.0
2024-08-15 10:49:30,22.7,46.0
2024-08-15 10:49:33,22.8,46.0
2024-08-15 10:49:35,22.7,46.0
2024-08-15 10:49:37,22.8,46.0
2024-08-15 10:49:39,22.8,46.0
2024-08-15 10:49:44,22.8,46.0
2024-08-15 10:49:49,22.8,45.0
2024-08-15 10:49:51,22.9,45.0
2024-08-15 10:49:53,22.8,45.0
2024-08-15 10:49:55,22.9,45.0
2024-08-15 11:06:06,22.9,45.0
2024-08-15 11:06:12,22.5,48.0
2024-08-15 11:06:14,22.4,48.0
2024-08-15 11:06:17,22.4,48.0
2024-08-15 11:06:19,22.4,48.0
2024-08-15 11:06:27,22.5,47.0
2024-08-15 11:06:29,22.5,47.0
2024-08-15 11:28:19,22.6,47.0
2024-08-15 11:28:28,22.6,48.0
2024-08-15 11:28:30,22.6,48.0
2024-08-15 11:28:34,22.5,48.0
2024-08-15 11:29:47,22.6,48.0
2024-08-15 11:29:49,22.5,49.0
2024-08-15 11:29:51,22.5,49.0
2024-08-15 11:33:38,20.0,67.0
2024-08-15 11:33:43,20.2,66.0
